product_id,product_name,category,stock_available,reorder_level,last_restocked_date,warehouse_location
P001,Product_1,Fashion,4,90,2026-03-25,Chennai
P002,Product_2,Electronics,56,83,2026-01-20,Pune
P003,Product_3,Home,36,36,2026-04-28,Mumbai
P004,Product_4,Electronics,86,33,2026-05-24,Chennai
P005,Product_5,Electronics,84,49,2026-05-17,Chennai
P006,Product_6,Electronics,99,54,2026-03-15,Pune
P007,Product_7,Home,80,39,2026-01-23,Chennai
P008,Product_8,Fashion,116,49,2026-02-02,Pune
P009,Product_9,Home,141,69,2026-04-21,Chennai
P010,Product_10,Sports,43,44,2026-04-01,Chennai
P011,Product_11,Electronics,99,64,2025-12-27,Delhi
P012,Product_12,Home,39,62,2026-05-28,Chennai
P013,Product_13,Home,129,77,2026-05-11,Pune
P014,Product_14,Electronics,71,60,2026-02-27,Mumbai
P015,Product_15,Fashion,123,64,2026-03-14,Mumbai
P016,Product_16,Fashion,92,61,2026-05-03,Mumbai
P017,Product_17,Sports,65,97,2026-04-08,Mumbai
P018,Product_18,Home,101,21,2026-02-11,Chennai
P019,Product_19,Home,64,95,2026-01-09,Pune
P020,Product_20,Sports,97,32,2026-02-18,Chennai
P021,Product_21,Home,108,30,2026-02-09,Delhi
P022,Product_22,Fashion,68,35,2025-12-26,Delhi
P023,Product_23,Sports,117,61,2026-05-11,Chennai
P024,Product_24,Sports,77,73,2026-05-29,Pune
P025,Product_25,Fashion,114,87,2025-12-17,Delhi
P026,Product_26,Electronics,23,36,2026-03-26,Mumbai
P027,Product_27,Electronics,91,51,2025-12-23,Chennai
P028,Product_28,Electronics,3,85,2026-05-01,Delhi
P029,Product_29,Home,109,97,2026-01-14,Mumbai
P030,Product_30,Fashion,120,84,2026-03-06,Chennai
P031,Product_31,Sports,76,37,2026-01-22,Chennai
P032,Product_32,Sports,40,64,2026-01-31,Pune
P033,Product_33,Home,87,24,2026-05-05,Delhi
P034,Product_34,Electronics,102,66,2026-05-07,Delhi
P035,Product_35,Sports,142,36,2026-02-06,Delhi
P036,Product_36,Fashion,123,25,2026-02-22,Pune
P037,Product_37,Fashion,43,62,2026-02-12,Delhi
P038,Product_38,Fashion,126,45,2026-02-20,Pune
P039,Product_39,Electronics,55,64,2026-01-03,Delhi
P040,Product_40,Sports,138,52,2026-02-27,Delhi
P041,Product_41,Home,91,67,2026-05-07,Chennai
P042,Product_42,Home,46,36,2026-06-07,Mumbai
P043,Product_43,Home,99,98,2026-03-20,Pune
P044,Product_44,Electronics,37,96,2026-04-01,Chennai
P045,Product_45,Sports,63,63,2026-01-02,Mumbai
P046,Product_46,Fashion,53,57,2026-03-22,Delhi
P047,Product_47,Electronics,38,38,2026-05-27,Delhi
P048,Product_48,Electronics,51,36,2026-05-12,Delhi
P049,Product_49,Home,89,52,2026-03-08,Pune
P050,Product_50,Fashion,75,68,2026-01-24,Mumbai
P051,Product_51,Home,67,56,2025-12-29,Pune
P052,Product_52,Electronics,11,31,2025-12-15,Pune
P053,Product_53,Sports,71,58,2026-04-13,Chennai
P054,Product_54,Home,118,41,2026-05-12,Delhi
P055,Product_55,Fashion,76,37,2026-01-24,Pune
P056,Product_56,Sports,50,20,2026-03-23,Mumbai
P057,Product_57,Fashion,70,82,2025-12-21,Pune
P058,Product_58,Sports,93,87,2025-12-25,Chennai
P059,Product_59,Sports,142,66,2026-01-01,Delhi
P060,Product_60,Fashion,58,53,2026-05-25,Pune
P061,Product_61,Sports,34,59,2026-02-10,Delhi
P062,Product_62,Electronics,131,67,2026-04-07,Mumbai
P063,Product_63,Electronics,56,86,2026-02-12,Mumbai
P064,Product_64,Sports,54,66,2026-03-24,Chennai
P065,Product_65,Electronics,0,84,2026-01-20,Pune
P066,Product_66,Fashion,87,26,2026-01-18,Chennai
P067,Product_67,Home,117,40,2026-06-02,Pune
P068,Product_68,Electronics,81,44,2026-03-17,Delhi
P069,Product_69,Fashion,129,21,2026-01-08,Delhi
P070,Product_70,Fashion,18,57,2026-04-10,Mumbai
P071,Product_71,Electronics,63,26,2026-03-15,Mumbai
P072,Product_72,Fashion,72,92,2026-01-02,Pune
P073,Product_73,Electronics,12,56,2026-02-13,Chennai
P074,Product_74,Electronics,61,55,2026-04-19,Delhi
P075,Product_75,Electronics,94,68,2026-02-02,Mumbai
P076,Product_76,Electronics,133,98,2026-04-01,Pune
P077,Product_77,Home,136,42,2026-04-27,Chennai
P078,Product_78,Fashion,136,32,2026-01-21,Chennai
P079,Product_79,Electronics,23,96,2026-03-02,Chennai
P080,Product_80,Home,129,100,2026-06-02,Delhi
P081,Product_81,Home,83,97,2026-01-29,Mumbai
P082,Product_82,Sports,27,92,2026-04-17,Chennai
P083,Product_83,Electronics,69,64,2026-04-06,Mumbai
P084,Product_84,Sports,15,46,2026-02-17,Mumbai
P085,Product_85,Fashion,55,27,2026-02-14,Pune
P086,Product_86,Home,86,97,2025-12-19,Delhi
P087,Product_87,Fashion,148,84,2026-02-02,Chennai
P088,Product_88,Electronics,129,51,2026-02-01,Pune
P089,Product_89,Fashion,123,80,2026-04-21,Delhi
P090,Product_90,Fashion,74,27,2026-02-23,Chennai
P091,Product_91,Home,36,59,2026-04-09,Mumbai
P092,Product_92,Electronics,48,23,2026-03-21,Delhi
P093,Product_93,Home,146,62,2026-03-31,Mumbai
P094,Product_94,Electronics,8,41,2025-12-16,Pune
P095,Product_95,Home,5,73,2026-03-12,Delhi
P096,Product_96,Home,20,35,2026-02-26,Pune
P097,Product_97,Home,66,90,2026-03-25,Delhi
P098,Product_98,Electronics,0,24,2026-04-04,Mumbai
P099,Product_99,Home,50,26,2025-12-17,Chennai
P100,Product_100,Home,102,20,2026-04-13,Chennai
