return_id,order_id,product_id,return_date,return_reason,refund_amount
RET0001,ORD00687,P009,2026-06-04,Damaged Product,9257.64
RET0002,ORD00695,P039,2026-05-17,Late Delivery,29378.94
RET0003,ORD00499,P090,2026-06-01,Wrong Item,14359.24
RET0004,ORD00705,P014,2026-05-15,Wrong Size,3036.17
RET0005,ORD00631,P096,2026-04-11,Wrong Size,28649.04
RET0006,ORD00852,P073,2026-05-28,Wrong Size,72982.8
RET0007,ORD00084,P078,2026-04-12,Damaged Product,2170.38
RET0008,ORD00228,P090,2026-04-28,Customer Changed Mind,125551.52
RET0009,ORD00552,P018,2026-04-27,Damaged Product,139984.29
RET0010,ORD00654,P043,2026-06-01,Customer Changed Mind,25861.14
RET0011,ORD00017,P048,2026-05-04,Customer Changed Mind,94362.58
RET0012,ORD00506,P002,2026-05-08,Wrong Item,1915.83
RET0013,ORD00415,P025,2026-05-25,Late Delivery,4127.08
RET0014,ORD00494,P012,2026-04-20,Wrong Item,19436.43
RET0015,ORD00634,P046,2026-04-18,Wrong Size,-53048.7
RET0016,ORD00822,P007,2026-04-14,Wrong Size,14514.12
RET0017,ORD00924,P048,2026-05-06,Wrong Item,127597.99
RET0018,ORD00159,P075,2026-04-18,Damaged Product,39292.63
RET0019,ORD00614,P077,2026-04-28,Wrong Size,59771.12
RET0020,ORD00891,P022,2026-06-08,Wrong Size,28439.39
RET0021,ORD00544,P027,2026-05-15,Damaged Product,34574.87
RET0022,ORD00178,P086,2026-05-24,Customer Changed Mind,6725.09
RET0023,ORD00245,P047,2026-05-03,Late Delivery,58656.84
RET0024,ORD00527,P016,2026-05-15,Late Delivery,68915.7
RET0025,ORD00214,P003,2026-05-06,Damaged Product,13642.41
RET0026,ORD00887,P097,2026-05-06,Customer Changed Mind,76005.81
RET0027,ORD00226,P058,2026-04-19,Wrong Item,92290.6
RET0028,ORD00725,P050,2026-04-12,Late Delivery,93666.45
RET0029,ORD00843,P031,2026-04-20,Late Delivery,50307.74
RET0030,ORD00776,P028,2026-05-16,Late Delivery,44932.3
RET0031,ORD00062,P058,2026-06-02,Customer Changed Mind,24646.55
RET0032,ORD00176,P078,2026-05-18,Damaged Product,-125395.82
RET0033,ORD00480,P035,2026-05-22,Wrong Item,73683.75
RET0034,ORD00085,P088,2026-05-14,Wrong Size,84360.38
RET0035,ORD00468,P085,2026-04-27,Damaged Product,30811.08
RET0036,ORD00262,P004,2026-05-03,Customer Changed Mind,18291.9
RET0037,ORD00429,P018,2026-04-14,Late Delivery,4320.3
RET0038,ORD00031,P054,2026-06-07,Customer Changed Mind,-27348.16
