order_id,date,product_id,product_name,category,region,quantity_sold,unit_price,discount_pct,sales_rep
ORD00001,2026-05-22 09:47:02.645720,P068,Product_68,Electronics,North,13,4846.61,,Sneha
ORD00002,2026-05-10 09:47:02.645720,P083,Product_83,Electronics,East,13,2039.88,15.0,Rahul
ORD00003,2026-04-19 09:47:02.645720,P062,Product_62,Electronics,East,20,867.72,10.0,Anjali
ORD00004,2026-04-05 09:47:02.645720,P035,Product_35,Sports,South,18,4242.32,15.0,Sneha
ORD00005,2026-04-06 09:47:02.645720,P035,Product_35,Sports,Central,4,4886.43,15.0,Priya
ORD00006,2026-04-13 09:47:02.645720,P016,Product_16,Fashion,South,9,6577.46,,Anjali
ORD00007,2026-04-12 09:47:02.645720,P003,Product_3,Home,South,17,4635.54,0.0,Priya
ORD00008,2026-04-18 09:47:02.645720,P072,Product_72,Fashion,North,11,9025.74,0.0,Priya
ORD00009,2026-06-01 09:47:02.645720,P018,Product_18,Home,South,4,8676.23,,Amit
ORD00010,2026-05-01 09:47:02.645720,P009,Product_9,Home,East,17,5912.62,0.0,Rahul
ORD00011,2026-03-31 09:47:02.645720,P048,Product_48,Electronics,West,9,6432.73,0.0,Anjali
ORD00012,2026-06-05 09:47:02.645720,P097,Product_97,Home,East,14,9881.5,15.0,Rahul
ORD00013,2026-04-15 09:47:02.645720,P077,Product_77,Home,North,11,8233.0,5.0,Vikas
ORD00014,2026-06-02 09:47:02.645720,P088,Product_88,Electronics,North,5,7529.99,5.0,Priya
ORD00015,2026-05-11 09:47:02.645720,P073,Product_73,Electronics,North,8,942.93,10.0,Sneha
ORD00016,2026-05-08 09:47:02.645720,P084,Product_84,Sports,South,12,9349.89,15.0,Sneha
ORD00017,2026-03-31 09:47:02.645720,P048,Product_48,Electronics,Central,13,7258.66,5.0,Sneha
ORD00018,2026-04-25 09:47:02.645720,P011,Product_11,Electronics,East,15,3752.35,10.0,Priya
ORD00019,2026-04-02 09:47:02.645720,P021,Product_21,Home,West,20,3095.97,10.0,Anjali
ORD00020,2026-05-09 09:47:02.645720,P097,Product_97,Home,East,18,6043.79,0.0,Vikas
ORD00021,2026-04-08 09:47:02.645720,P038,Product_38,Fashion,Central,6,1934.78,10.0,Anjali
ORD00022,2026-06-03 09:47:02.645720,P022,Product_22,Fashion,West,-11,741.58,10.0,Anjali
ORD00023,2026-03-26 09:47:02.645720,P032,Product_32,Sports,Central,4,8212.45,15.0,Anjali
